index,name,x,y,confidence
0,nose,0.32439846,0.31449765,0.60569215
1,left_eye,0.32919642,0.3356973,0.65934944
2,right_eye,0.33089435,0.33607018,0.6008961
3,left_ear,0.37070006,0.35722604,0.8502377
4,right_ear,0.3704027,0.358787,0.7586848
5,left_shoulder,0.4395277,0.36066774,0.6866331
6,right_shoulder,0.4482319,0.36415523,0.69877774
7,left_elbow,0.4153155,0.5146717,0.60856247
8,right_elbow,0.41233444,0.51601654,0.7132128
9,left_wrist,0.3684727,0.63932055,0.4940698
10,right_wrist,0.37607855,0.65501076,0.78521365
11,left_hip,0.5136958,0.5470407,0.7875238
12,right_hip,0.54567546,0.55139387,0.6271703
13,left_knee,0.33683947,0.63415134,0.1958071
14,right_knee,0.72126853,0.45689926,0.8231908
15,left_ankle,0.28984562,0.48962325,0.6153373
16,right_ankle,0.6934715,0.6703514,0.92371005
